cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec,cDates,circuitID,Error
Adelaide Street Circuit,Adelaide,Australia,Supercars Circuit,3.219 km,NULL,NULL,NULL,1999-2026,1,
Adelaide Street Circuit,Adelaide,Australia,"Formula One Grand Prix Circuit (1985–1995, 2000)",3.780 km,1993,318,75.381, 2000,2,
Adelaide Street Circuit,Adelaide,Australia,Formula One Grand Prix Circuit,3.780 km,1993,318,75.381,1985–1995,2,
Ain Diab,Casablanca,Morocco,Grand Prix Circuit,7.603 km,1958,459,142.5,1957-1958,3,
Aintree,Liverpool,UK,Grand Prix Circuit,4.828 km,1963,148,111.8,1954-1964,4,
Albert Park Grand Prix Circuit,Melbourne,Australia,Grand Prix Circuit,5.278 km,2024,385,79.813,2021-2026,5,
Albert Park Grand Prix Circuit,Melbourne,Australia,Grand Prix Circuit,5.303 km,2004,600,84.125,1996-2020,6,
Albert Park Grand Prix Circuit,Melbourne,Australia,Original Circuit,5.027 km,NULL,NULL,NULL,1953-1958,7,
Circuit of the Americas,Austin,USA,Grand Prix Circuit,5.513 km,2019,385,96.169,2012-2026,8,
Circuit of the Americas,Austin,USA,NASCAR Circuit,3.862 km,NULL,NULL,NULL,2025-2026,9,
Circuit of the Americas,Austin,USA,National Circuit,3.701 km,NULL,NULL,NULL,2012-2026,10,
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit,4.025 km,2009,Marijn van Kalmthout,81.525,1998-2026,11,Pilote_Introuvable
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit,4.031 km,1978,380,84.836,1978-1997,12,
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit,4.018 km,1977,22,87.607,1975-1977,13,
Scandinavian Raceway,Anderstorp,Sweden,Original Grand Prix Circuit,4.025 km,1973,Denny Hulme,86.146,1968-1974,14,Pilote_Introuvable
AVUS,Berlin,Germany,Grand Prix Circuit with Chicane,2.660 km,NULL,NULL,NULL,1994-1998,15,
AVUS,Berlin,Germany,Grand Prix Circuit,2.639 km,NULL,NULL,NULL,1992-1993,16,
AVUS,Berlin,Germany,Grand Prix Circuit,4.879 km,NULL,NULL,NULL,1989-1991,17,
AVUS,Berlin,Germany,Grand Prix Circuit with Unbanked Nord Kehre,8.109 km,NULL,NULL,NULL,1968-1988,18,
AVUS,Berlin,Germany,Grand Prix Circuit,8.300 km,1959,108,124.5,1951-1967,19,
AVUS,Berlin,Germany,Grand Prix Circuit,19.291 km,NULL,NULL,NULL,1937-1939,20,
AVUS,Berlin,Germany,Original Grand Prix Circuit,19.569 km,NULL,NULL,NULL,1921-1936,21,
Bahrain International Circuit,Sakhir,Bahrain,Grand Prix Circuit,5.412 km,2005,184,91.447,2005-2026,22,
Bahrain International Circuit,Sakhir,Bahrain,Outer Circuit,3.543 km,2020,571,55.404,2005-2026,23,
Bahrain International Circuit,Sakhir,Bahrain,Endurance Circuit,6.299 km,2010,16,118.287,2005-2026,24,
Bahrain International Circuit,Sakhir,Bahrain,Paddock Circuit,3.823 km,NULL,NULL,NULL,2004-2026,25,
Bahrain International Circuit,Sakhir,Bahrain,Oasis / Inner Circuit,2.550 km,NULL,NULL,NULL,2004-2026,26,
Bahrain International Circuit,Sakhir,Bahrain,Original Grand Prix Circuit,5.417 km,2004,600,90.252,2004,27,
Baku City Circuit,Baku,Azerbaijan,Grand Prix Circuit,6.003 km,2019,385,103.009,2016-2026,28,
Circuito da Boavista,Oporto,Portugal,Revival Circuit,4.800 km,NULL,NULL,NULL,2005-2013,29,
Circuito da Boavista,Oporto,Portugal,Second Grand Prix Circuit,7.406 km,1960,643,147.53,1952-1960,30,
Circuito da Boavista,Oporto,Portugal,Original Grand Prix Circuit,7.775 km,NULL,NULL,NULL,1950-1951,31,
Brands Hatch,Kent,UK,Grand Prix Circuit,3.916 km,NULL,NULL,NULL,2003-2026,32,
Brands Hatch,Kent,UK,Indy Circuit,1.944 km,2004,Scott Mansell,38.032,2003-2026,33,Pilote_Introuvable
Brands Hatch,Kent,UK,Grand Prix Circuit,4.221 km,2001,Tony Worswick,76.17,1999-2002,34,Pilote_Introuvable
Brands Hatch,Kent,UK,Grand Prix Circuit,4.182 km,NULL,NULL,NULL,1988-1998,35,
Brands Hatch,Kent,UK,Indy Circuit,1.938 km,NULL,NULL,NULL,1976-1998,36,
Brands Hatch,Kent,UK,Grand Prix Circuit,4.207 km,1986,419,69.593,1976-1987,37,
Brands Hatch,Kent,UK,Grand Prix Circuit,4.265 km,1974,380,81.1,1960-1975,38,
Brands Hatch,Kent,UK,Club Circuit,1.995 km,NULL,NULL,NULL,1954-1975,39,
Circuit Bremgarten,Bern,Switzerland,Grand Prix Circuit,7.280 km,NULL,NULL,NULL,1931-1955,40,
Buddh International Circuit,Uttar Pradesh,India,Grand Prix Circuit,5.125 km,2011,687,87.249,2011-2026,41,
Buddh International Circuit,Uttar Pradesh,India,Motorcycle Circuit,5.010 km,NULL,NULL,NULL,2011-2026,42,
Buddh International Circuit,Uttar Pradesh,India,Short Circuit,3.100 km,NULL,NULL,NULL,2011-2026,43,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Grand Prix Circuit without Chicane,4.657 km,2025,512,75.743,2021-2026,44,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Grand Prix Circuit with Chicane,4.675 km,2021,686,78.149,2021-2026,45,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Grand Prix Circuit  & Motorcycle Circuit,4.655 km,2020,93,78.183,2007-2020,46,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Motorcycle Circuit  & Grand Prix Circuit,4.627 km,2005,228,75.641,2004-2006,47,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Motorcycle Circuit  & Grand Prix Circuit,4.730 km,2003,50,80.143,1995-2003,48,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Original Layout with Nissan Chicane,4.745 km,1994,600,85.155,1994,49,
Circuit de Barcelona-Catalunya,Barcelona,Spain,Original Layout,4.747 km,1993,600,80.989,1991-1993,50,
Charade Circuit,Clermont-Ferrand,France,Modern Circuit,3.975 km,NULL,NULL,NULL,1989-2026,51,
Charade Circuit,Clermont-Ferrand,France,Original Circuit,8.055 km,1972,19,173.9,1958-1988,52,
Fair Park,Dallas,USA,Trans-Am Circuit,2.092 km,NULL,NULL,NULL,1988,53,
Fair Park,Dallas,USA,Grand Prix Circuit,3.901 km,NULL,NULL,NULL,1984,54,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,2.647 km,NULL,NULL,NULL,2023-2026,55,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,4.023 km,1987,608,100.464,1983-1991,56,
Detroit Street Circuit,Detroit,USA,Grand Prix Circuit,4.168 km,1982,533,110.438,1982,57,
Dijon-Prenois,Dijon,France,Grand Prix Circuit,3.801 km,2015,Ingo Gerstl,62.985,1976-2026,58,Pilote_Introuvable
Dijon-Prenois,Dijon,France,Short Circuit,3.289 km,1974,589,60.0,1972-2026,59,
Donington Park,Castle Donington,UK,Grand Prix Circuit,4.020 km,NULL,NULL,NULL,1986-2026,60,
Donington Park,Castle Donington,UK,National Circuit with realigned Goddards Chicane,3.149 km,2011,Marijn van Kalmthout,57.221,2010-2026,61,Pilote_Introuvable
Donington Park,Castle Donington,UK,National Circuit,3.149 km,2004,Scott Mansell,55.859,1977-2009,62,Pilote_Introuvable
Donington Park,Castle Donington,UK,Grand Prix Circuit,5.029 km,NULL,NULL,NULL,1937-1939,63,
Donington Park,Castle Donington,UK,Grand Prix Circuit,4.107 km,NULL,NULL,NULL,1935-1936,64,
Donington Park,Castle Donington,UK,Original Circuit,3.518 km,NULL,NULL,NULL,1931-1934,65,
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit,5.543 km,NULL,NULL,NULL,1972-1994,66,
Rouen-Les-Essarts,Rouen,France,Grand Prix Circuit,6.542 km,NULL,NULL,NULL,1955-1971,67,
