cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Adelaide Street Circuit,Adelaide,Australia,Supercars Circuit (1999–2026),3.219 km,NULL,NULL,NULL
Adelaide Street Circuit,Adelaide,Australia,"Formula One Grand Prix Circuit (1985–1995, 2000)",3.780 km,1993,Damon Hill,75.381
Ain Diab,Casablanca,Morocco,Grand Prix Circuit (1957–1958),7.603 km,1958,Stirling Moss,142.5
Aintree,Liverpool,UK,Grand Prix Circuit (1954–1964),4.828 km,1963,Jim Clark,111.8
Albert Park Grand Prix Circuit,Melbourne,Australia,Grand Prix Circuit (2021–present),5.278 km,2024,Charles Leclerc,79.813
Albert Park Grand Prix Circuit,Melbourne,Australia,Grand Prix Circuit (1996–2020),5.303 km,2004,Michael Schumacher,84.125
Albert Park Grand Prix Circuit,Melbourne,Australia,Original Circuit (1953–1958),5.027 km,NULL,NULL,NULL
Circuit of the Americas,Austin,USA,Grand Prix Circuit (2012–present),3.426 mi,2019,Charles Leclerc,96.169
Circuit of the Americas,Austin,USA,NASCAR Circuit (2025–present),2.400 mi,NULL,NULL,NULL
Circuit of the Americas,Austin,USA,National Circuit (2012–present),2.300 mi,NULL,NULL,NULL
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit (1998–present),4.025 km,2009,Marijn van Kalmthout,81.525
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit (1978–1997),4.031 km,1978,Niki Lauda,84.836
Scandinavian Raceway,Anderstorp,Sweden,Grand Prix Circuit (1975–1977),4.018 km,1977,Mario Andretti,87.607
Scandinavian Raceway,Anderstorp,Sweden,Original Grand Prix Circuit (1968–1974),4.025 km,1973,Denny Hulme,86.146
AVUS,Berlin,Germany,Grand Prix Circuit with Chicane (1994–1998),2.660 km,NULL,NULL,NULL
AVUS,Berlin,Germany,Grand Prix Circuit (1992–1993),2.639 km,NULL,NULL,NULL
AVUS,Berlin,Germany,Grand Prix Circuit (1989–1991),4.879 km,NULL,NULL,NULL
AVUS,Berlin,Germany,Grand Prix Circuit with Unbanked Nord Kehre (1968–1988),8.109 km,NULL,NULL,NULL
AVUS,Berlin,Germany,Grand Prix Circuit (1951–1967),8.300 km,1959,Tony Brooks,124.5
AVUS,Berlin,Germany,Grand Prix Circuit (1937–1939),19.291 km,NULL,NULL,NULL
AVUS,Berlin,Germany,Original Grand Prix Circuit (1921–1936),19.569 km,NULL,NULL,NULL
Bahrain International Circuit,Sakhir,Bahrain,Grand Prix Circuit (2005–present),5.412 km,2005,Pedro de la Rosa,91.447
Bahrain International Circuit,Sakhir,Bahrain,Outer Circuit (2005–present),3.543 km,2020,George Russell,55.404
Bahrain International Circuit,Sakhir,Bahrain,Endurance Circuit (2005–present),6.299 km,2010,Fernando Alonso,118.287
Bahrain International Circuit,Sakhir,Bahrain,Paddock Circuit (2004–present),3.823 km,NULL,NULL,NULL
Bahrain International Circuit,Sakhir,Bahrain,Oasis / Inner Circuit (2004–present),2.550 km,NULL,NULL,NULL
Bahrain International Circuit,Sakhir,Bahrain,Original Grand Prix Circuit (2004),5.417 km,2004,Michael Schumacher,90.252
Baku City Circuit,Baku,Azerbaijan,Grand Prix Circuit (2016–present),6.003 km,2019,Charles Leclerc,103.009
Circuito da Boavista,Oporto,Portugal,Revival Circuit (2005–2013),4.800 km,NULL,NULL,NULL
Circuito da Boavista,Oporto,Portugal,Second Grand Prix Circuit (1952–1960),7.406 km,1960,John Surtees,147.53
Circuito da Boavista,Oporto,Portugal,Original Grand Prix Circuit (1950–1951),7.775 km,NULL,NULL,NULL
Brands Hatch,Kent,UK,Grand Prix Circuit (2003–present),3.916 km,NULL,NULL,NULL
Brands Hatch,Kent,UK,Indy Circuit (2003–present),1.944 km,2004,Scott Mansell,38.032
Brands Hatch,Kent,UK,Grand Prix Circuit (1999–2002),4.221 km,2001,Tony Worswick,76.17
Brands Hatch,Kent,UK,Grand Prix Circuit (1988–1998),4.182 km,NULL,NULL,NULL
Brands Hatch,Kent,UK,Indy Circuit (1976–1998),1.938 km,NULL,NULL,NULL
Brands Hatch,Kent,UK,Grand Prix Circuit (1976–1987),4.207 km,1986,Nigel Mansell,69.593
Brands Hatch,Kent,UK,Grand Prix Circuit (1960–1975),4.265 km,1974,Niki Lauda,81.1
Brands Hatch,Kent,UK,Club Circuit (1954–1975),1.995 km,NULL,NULL,NULL
