gName,gpID,NomCircuit,gDate,gLaps,gRank,url_GP
British Grand Prix,1,Silverstone Circuit,1950-05-13 00:00:00,70,1,https://en.wikipedia.org/wiki/1950_British_Grand_Prix
Monaco Grand Prix,2,Circuit de Monaco,1950-05-21 00:00:00,100,2,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
Indianapolis 500,3,Indianapolis Motor Speedway,1950-05-30 00:00:00,138,3,https://en.wikipedia.org/wiki/1950_Indianapolis_500
Swiss Grand Prix,4,Circuit Bremgarten,1950-06-04 00:00:00,42,4,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
Belgian Grand Prix,5,Circuit de Spa-Francorchamps,1950-06-18 00:00:00,35,5,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
French Grand Prix,6,Reims-Gueux,1950-07-02 00:00:00,64,6,https://en.wikipedia.org/wiki/1950_French_Grand_Prix
Italian Grand Prix,7,Autodromo Nazionale di Monza,1950-09-03 00:00:00,80,7,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
Swiss Grand Prix,8,Circuit Bremgarten,1951-05-27 00:00:00,42,1,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
Indianapolis 500,9,Indianapolis Motor Speedway,1951-05-30 00:00:00,200,2,https://en.wikipedia.org/wiki/1951_Indianapolis_500
Belgian Grand Prix,10,Circuit de Spa-Francorchamps,1951-06-17 00:00:00,36,3,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
French Grand Prix,11,Reims-Gueux,1951-07-01 00:00:00,77,4,https://en.wikipedia.org/wiki/1951_French_Grand_Prix
British Grand Prix,12,Silverstone Circuit,1951-07-14 00:00:00,90,5,https://en.wikipedia.org/wiki/1951_British_Grand_Prix
German Grand Prix,13,Nürburgring,1951-07-29 00:00:00,20,6,https://en.wikipedia.org/wiki/1951_German_Grand_Prix
Italian Grand Prix,14,Autodromo Nazionale di Monza,1951-09-16 00:00:00,80,7,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
Spanish Grand Prix,15,Circuit de Pedralbes,1951-10-28 00:00:00,70,8,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
Swiss Grand Prix,16,Circuit Bremgarten,1952-05-18 00:00:00,62,1,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
Indianapolis 500,17,Indianapolis Motor Speedway,1952-05-30 00:00:00,200,2,https://en.wikipedia.org/wiki/1952_Indianapolis_500
Belgian Grand Prix,18,Circuit de Spa-Francorchamps,1952-06-22 00:00:00,36,3,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
French Grand Prix,19,Rouen-Les-Essarts,1952-07-06 00:00:00,77,4,https://en.wikipedia.org/wiki/1952_French_Grand_Prix
British Grand Prix,20,Silverstone Circuit,1952-07-19 00:00:00,85,5,https://en.wikipedia.org/wiki/1952_British_Grand_Prix
German Grand Prix,21,Nürburgring,1952-08-03 00:00:00,18,6,https://en.wikipedia.org/wiki/1952_German_Grand_Prix
Dutch Grand Prix,22,Circuit Park Zandvoort,1952-08-17 00:00:00,90,7,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
Italian Grand Prix,23,Autodromo Nazionale di Monza,1952-09-07 00:00:00,80,8,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
Argentine Grand Prix,24,Autódromo Juan y Oscar Gálvez,1953-01-18 00:00:00,97,1,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
Indianapolis 500,25,Indianapolis Motor Speedway,1953-05-30 00:00:00,200,2,https://en.wikipedia.org/wiki/1953_Indianapolis_500
Dutch Grand Prix,26,Circuit Park Zandvoort,1953-06-07 00:00:00,90,3,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
Belgian Grand Prix,27,Circuit de Spa-Francorchamps,1953-06-21 00:00:00,36,4,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
French Grand Prix,28,Reims-Gueux,1953-07-05 00:00:00,60,5,https://en.wikipedia.org/wiki/1953_French_Grand_Prix
British Grand Prix,29,Silverstone Circuit,1953-07-18 00:00:00,90,6,https://en.wikipedia.org/wiki/1953_British_Grand_Prix
German Grand Prix,30,Nürburgring,1953-08-02 00:00:00,18,7,https://en.wikipedia.org/wiki/1953_German_Grand_Prix
Swiss Grand Prix,31,Circuit Bremgarten,1953-08-23 00:00:00,65,8,https://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
Italian Grand Prix,32,Autodromo Nazionale di Monza,1953-09-13 00:00:00,80,9,https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
Argentine Grand Prix,33,Autódromo Juan y Oscar Gálvez,1954-01-17 00:00:00,87,1,https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
Indianapolis 500,34,Indianapolis Motor Speedway,1954-05-31 00:00:00,200,2,https://en.wikipedia.org/wiki/1954_Indianapolis_500
Belgian Grand Prix,35,Circuit de Spa-Francorchamps,1954-06-20 00:00:00,36,3,https://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
French Grand Prix,36,Reims-Gueux,1954-07-04 00:00:00,61,4,https://en.wikipedia.org/wiki/1954_French_Grand_Prix
British Grand Prix,37,Silverstone Circuit,1954-07-17 00:00:00,90,5,https://en.wikipedia.org/wiki/1954_British_Grand_Prix
German Grand Prix,38,Nürburgring,1954-08-01 00:00:00,22,6,https://en.wikipedia.org/wiki/1954_German_Grand_Prix
Swiss Grand Prix,39,Circuit Bremgarten,1954-08-22 00:00:00,66,7,https://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
Italian Grand Prix,40,Autodromo Nazionale di Monza,1954-09-05 00:00:00,80,8,https://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
Spanish Grand Prix,41,Circuit de Pedralbes,1954-10-24 00:00:00,80,9,https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
Argentine Grand Prix,42,Autódromo Juan y Oscar Gálvez,1955-01-16 00:00:00,96,1,https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
Monaco Grand Prix,43,Circuit de Monaco,1955-05-22 00:00:00,100,2,https://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
Indianapolis 500,44,Indianapolis Motor Speedway,1955-05-30 00:00:00,200,3,https://en.wikipedia.org/wiki/1955_Indianapolis_500
Belgian Grand Prix,45,Circuit de Spa-Francorchamps,1955-06-05 00:00:00,36,4,https://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
Dutch Grand Prix,46,Circuit Park Zandvoort,1955-06-19 00:00:00,100,5,https://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
British Grand Prix,47,Aintree,1955-07-16 00:00:00,90,6,https://en.wikipedia.org/wiki/1955_British_Grand_Prix
Italian Grand Prix,48,Autodromo Nazionale di Monza,1955-09-11 00:00:00,50,7,https://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
Argentine Grand Prix,49,Autódromo Juan y Oscar Gálvez,1956-01-22 00:00:00,98,1,https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
Monaco Grand Prix,50,Circuit de Monaco,1956-05-13 00:00:00,100,2,https://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
Indianapolis 500,51,Indianapolis Motor Speedway,1956-05-30 00:00:00,200,3,https://en.wikipedia.org/wiki/1956_Indianapolis_500
Belgian Grand Prix,52,Circuit de Spa-Francorchamps,1956-06-03 00:00:00,36,4,https://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
French Grand Prix,53,Reims-Gueux,1956-07-01 00:00:00,61,5,https://en.wikipedia.org/wiki/1956_French_Grand_Prix
British Grand Prix,54,Silverstone Circuit,1956-07-14 00:00:00,101,6,https://en.wikipedia.org/wiki/1956_British_Grand_Prix
German Grand Prix,55,Nürburgring,1956-08-05 00:00:00,22,7,https://en.wikipedia.org/wiki/1956_German_Grand_Prix
Italian Grand Prix,56,Autodromo Nazionale di Monza,1956-09-02 00:00:00,50,8,https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
Argentine Grand Prix,57,Autódromo Juan y Oscar Gálvez,1957-01-13 00:00:00,100,1,https://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
Monaco Grand Prix,58,Circuit de Monaco,1957-05-19 00:00:00,105,2,https://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
Indianapolis 500,59,Indianapolis Motor Speedway,1957-05-30 00:00:00,200,3,https://en.wikipedia.org/wiki/1957_Indianapolis_500
French Grand Prix,60,Rouen-Les-Essarts,1957-07-07 00:00:00,77,4,https://en.wikipedia.org/wiki/1957_French_Grand_Prix
British Grand Prix,61,Aintree,1957-07-20 00:00:00,90,5,https://en.wikipedia.org/wiki/1957_British_Grand_Prix
German Grand Prix,62,Nürburgring,1957-08-04 00:00:00,22,6,https://en.wikipedia.org/wiki/1957_German_Grand_Prix
Pescara Grand Prix,63,Pescara Circuit,1957-08-18 00:00:00,18,7,https://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
Italian Grand Prix,64,Autodromo Nazionale di Monza,1957-09-08 00:00:00,87,8,https://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
Argentine Grand Prix,65,Autódromo Juan y Oscar Gálvez,1958-01-19 00:00:00,80,1,https://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
Monaco Grand Prix,66,Circuit de Monaco,1958-05-18 00:00:00,100,2,https://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
Dutch Grand Prix,67,Circuit Park Zandvoort,1958-05-26 00:00:00,75,3,https://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
Indianapolis 500,68,Indianapolis Motor Speedway,1958-05-30 00:00:00,200,4,https://en.wikipedia.org/wiki/1958_Indianapolis_500
Belgian Grand Prix,69,Circuit de Spa-Francorchamps,1958-06-15 00:00:00,24,5,https://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
French Grand Prix,70,Reims-Gueux,1958-07-06 00:00:00,50,6,https://en.wikipedia.org/wiki/1958_French_Grand_Prix
British Grand Prix,71,Silverstone Circuit,1958-07-19 00:00:00,75,7,https://en.wikipedia.org/wiki/1958_British_Grand_Prix
German Grand Prix,72,Nürburgring,1958-08-03 00:00:00,15,8,https://en.wikipedia.org/wiki/1958_German_Grand_Prix
Portuguese Grand Prix,73,Circuito da Boavista,1958-08-24 00:00:00,50,9,https://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
Italian Grand Prix,74,Autodromo Nazionale di Monza,1958-09-07 00:00:00,70,10,https://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
Moroccan Grand Prix,75,Ain Diab,1958-10-19 00:00:00,53,11,https://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
Monaco Grand Prix,76,Circuit de Monaco,1959-05-10 00:00:00,100,1,https://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
Indianapolis 500,77,Indianapolis Motor Speedway,1959-05-30 00:00:00,200,2,https://en.wikipedia.org/wiki/1959_Indianapolis_500
Dutch Grand Prix,78,Circuit Park Zandvoort,1959-05-31 00:00:00,75,3,https://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
French Grand Prix,79,Reims-Gueux,1959-07-05 00:00:00,50,4,https://en.wikipedia.org/wiki/1959_French_Grand_Prix
British Grand Prix,80,Aintree,1959-07-18 00:00:00,75,5,https://en.wikipedia.org/wiki/1959_British_Grand_Prix
German Grand Prix,81,AVUS,1959-08-02 00:00:00,2,6,https://en.wikipedia.org/wiki/1959_German_Grand_Prix
Portuguese Grand Prix,82,Monsanto Park Circuit,1959-08-23 00:00:00,62,7,https://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
Italian Grand Prix,83,Autodromo Nazionale di Monza,1959-09-13 00:00:00,72,8,https://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
United States Grand Prix,84,Sebring International Raceway,1959-12-12 00:00:00,42,9,https://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
Argentine Grand Prix,85,Autódromo Juan y Oscar Gálvez,1960-02-07 00:00:00,80,1,https://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
Monaco Grand Prix,86,Circuit de Monaco,1960-05-29 00:00:00,100,2,https://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
Indianapolis 500,87,Indianapolis Motor Speedway,1960-05-30 00:00:00,200,3,https://en.wikipedia.org/wiki/1960_Indianapolis_500
Dutch Grand Prix,88,Circuit Park Zandvoort,1960-06-06 00:00:00,75,4,https://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
Belgian Grand Prix,89,Circuit de Spa-Francorchamps,1960-06-19 00:00:00,36,5,https://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
French Grand Prix,90,Reims-Gueux,1960-07-03 00:00:00,50,6,https://en.wikipedia.org/wiki/1960_French_Grand_Prix
British Grand Prix,91,Silverstone Circuit,1960-07-16 00:00:00,77,7,https://en.wikipedia.org/wiki/1960_British_Grand_Prix
Portuguese Grand Prix,92,Circuito da Boavista,1960-08-14 00:00:00,55,8,https://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
Italian Grand Prix,93,Autodromo Nazionale di Monza,1960-09-04 00:00:00,50,9,https://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
United States Grand Prix,94,Riverside International Raceway,1960-11-20 00:00:00,75,10,https://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
Monaco Grand Prix,95,Circuit de Monaco,1961-05-14 00:00:00,100,1,https://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
Dutch Grand Prix,96,Circuit Park Zandvoort,1961-05-22 00:00:00,75,2,https://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
Belgian Grand Prix,97,Circuit de Spa-Francorchamps,1961-06-18 00:00:00,30,3,https://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
French Grand Prix,98,Reims-Gueux,1961-07-02 00:00:00,52,4,https://en.wikipedia.org/wiki/1961_French_Grand_Prix
British Grand Prix,99,Aintree,1961-07-15 00:00:00,75,5,https://en.wikipedia.org/wiki/1961_British_Grand_Prix
German Grand Prix,100,Nürburgring,1961-08-06 00:00:00,15,6,https://en.wikipedia.org/wiki/1961_German_Grand_Prix
Italian Grand Prix,101,Autodromo Nazionale di Monza,1961-09-10 00:00:00,43,7,https://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
United States Grand Prix,102,Watkins Glen,1961-10-08 00:00:00,100,8,https://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
Dutch Grand Prix,103,Circuit Park Zandvoort,1962-05-20 00:00:00,80,1,https://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
Monaco Grand Prix,104,Circuit de Monaco,1962-06-03 00:00:00,100,2,https://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
Belgian Grand Prix,105,Circuit de Spa-Francorchamps,1962-06-17 00:00:00,32,3,https://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
French Grand Prix,106,Rouen-Les-Essarts,1962-07-08 00:00:00,54,4,https://en.wikipedia.org/wiki/1962_French_Grand_Prix
