gpID,gName,circuitID#,gDate,gLaps,gRank
1,British Grand Prix,,1950-05-13 00:00:00,70,1
2,Monaco Grand Prix,,1950-05-21 00:00:00,100,2
3,Indianapolis 500,,1950-05-30 00:00:00,138,3
4,Swiss Grand Prix,,1950-06-04 00:00:00,42,4
5,Belgian Grand Prix,,1950-06-18 00:00:00,35,5
6,French Grand Prix,,1950-07-02 00:00:00,64,6
7,Italian Grand Prix,,1950-09-03 00:00:00,80,7
8,Swiss Grand Prix,,1951-05-27 00:00:00,42,1
9,Indianapolis 500,,1951-05-30 00:00:00,200,2
10,Belgian Grand Prix,,1951-06-17 00:00:00,36,3
11,French Grand Prix,,1951-07-01 00:00:00,77,4
12,British Grand Prix,,1951-07-14 00:00:00,90,5
13,German Grand Prix,,1951-07-29 00:00:00,20,6
14,Italian Grand Prix,,1951-09-16 00:00:00,80,7
15,Spanish Grand Prix,,1951-10-28 00:00:00,70,8
16,Swiss Grand Prix,,1952-05-18 00:00:00,62,1
17,Indianapolis 500,,1952-05-30 00:00:00,200,2
18,Belgian Grand Prix,,1952-06-22 00:00:00,36,3
19,French Grand Prix,,1952-07-06 00:00:00,77,4
20,British Grand Prix,,1952-07-19 00:00:00,85,5
21,German Grand Prix,,1952-08-03 00:00:00,18,6
22,Dutch Grand Prix,,1952-08-17 00:00:00,90,7
23,Italian Grand Prix,,1952-09-07 00:00:00,80,8
24,Argentine Grand Prix,,1953-01-18 00:00:00,97,1
25,Indianapolis 500,,1953-05-30 00:00:00,200,2
26,Dutch Grand Prix,,1953-06-07 00:00:00,90,3
27,Belgian Grand Prix,,1953-06-21 00:00:00,36,4
28,French Grand Prix,,1953-07-05 00:00:00,60,5
29,British Grand Prix,,1953-07-18 00:00:00,90,6
30,German Grand Prix,,1953-08-02 00:00:00,18,7
31,Swiss Grand Prix,,1953-08-23 00:00:00,65,8
32,Italian Grand Prix,,1953-09-13 00:00:00,80,9
33,Argentine Grand Prix,,1954-01-17 00:00:00,87,1
34,Indianapolis 500,,1954-05-31 00:00:00,200,2
35,Belgian Grand Prix,,1954-06-20 00:00:00,36,3
36,French Grand Prix,,1954-07-04 00:00:00,61,4
37,British Grand Prix,,1954-07-17 00:00:00,90,5
38,German Grand Prix,,1954-08-01 00:00:00,22,6
39,Swiss Grand Prix,,1954-08-22 00:00:00,66,7
40,Italian Grand Prix,,1954-09-05 00:00:00,80,8
41,Spanish Grand Prix,,1954-10-24 00:00:00,80,9
42,Argentine Grand Prix,,1955-01-16 00:00:00,96,1
43,Monaco Grand Prix,,1955-05-22 00:00:00,100,2
44,Indianapolis 500,,1955-05-30 00:00:00,200,3
45,Belgian Grand Prix,,1955-06-05 00:00:00,36,4
46,Dutch Grand Prix,,1955-06-19 00:00:00,100,5
47,British Grand Prix,,1955-07-16 00:00:00,90,6
48,Italian Grand Prix,,1955-09-11 00:00:00,50,7
49,Argentine Grand Prix,,1956-01-22 00:00:00,98,1
50,Monaco Grand Prix,,1956-05-13 00:00:00,100,2
51,Indianapolis 500,,1956-05-30 00:00:00,200,3
52,Belgian Grand Prix,,1956-06-03 00:00:00,36,4
53,French Grand Prix,,1956-07-01 00:00:00,61,5
54,British Grand Prix,,1956-07-14 00:00:00,101,6
55,German Grand Prix,,1956-08-05 00:00:00,22,7
56,Italian Grand Prix,,1956-09-02 00:00:00,50,8
57,Argentine Grand Prix,,1957-01-13 00:00:00,100,1
58,Monaco Grand Prix,,1957-05-19 00:00:00,105,2
59,Indianapolis 500,,1957-05-30 00:00:00,200,3
60,French Grand Prix,,1957-07-07 00:00:00,77,4
61,British Grand Prix,,1957-07-20 00:00:00,90,5
62,German Grand Prix,,1957-08-04 00:00:00,22,6
63,Pescara Grand Prix,,1957-08-18 00:00:00,18,7
64,Italian Grand Prix,,1957-09-08 00:00:00,87,8
65,Argentine Grand Prix,,1958-01-19 00:00:00,80,1
66,Monaco Grand Prix,,1958-05-18 00:00:00,100,2
67,Dutch Grand Prix,,1958-05-26 00:00:00,75,3
68,Indianapolis 500,,1958-05-30 00:00:00,200,4
69,Belgian Grand Prix,,1958-06-15 00:00:00,24,5
70,French Grand Prix,,1958-07-06 00:00:00,50,6
71,British Grand Prix,,1958-07-19 00:00:00,75,7
72,German Grand Prix,,1958-08-03 00:00:00,15,8
