sSeason,gpID,driverID,sPos,sPoints,sGrid,sLaps,sInc
1951,Swiss Grand Prix,Juan Fangio,1,9,1,42,RAS
1951,Swiss Grand Prix,Piero Taruffi,2,6,6,42,RAS
1951,Swiss Grand Prix,Nino Farina,3,4,2,42,RAS
1951,Swiss Grand Prix,Consalvo Sanesi,4,3,4,41,RAS
1951,Swiss Grand Prix,Toulo de Graffenried,5,2,5,40,RAS
1951,Swiss Grand Prix,Alberto Ascari,6,0,7,40,RAS
1951,Swiss Grand Prix,Louis Chiron,7,0,19,40,RAS
1951,Swiss Grand Prix,Stirling Moss,8,0,14,40,RAS
1951,Swiss Grand Prix,Louis Rosier,9,0,8,39,RAS
1951,Swiss Grand Prix,Philippe Étancelin,10,0,12,39,RAS
1951,Swiss Grand Prix,Rudi Fischer,11,0,10,39,RAS
1951,Swiss Grand Prix,Harry Schell,12,0,17,38,RAS
1951,Swiss Grand Prix,Johnny Claes,13,0,18,35,RAS
1951,Swiss Grand Prix,Guy Mairesse,14,0,21,31,RAS
1951,Swiss Grand Prix,Peter Whitehead,15,0,9,36,Accident
1951,Swiss Grand Prix,Henri Louveau,16,0,11,30,Accident
1951,Swiss Grand Prix,George Abecassis,17,0,20,23,Magneto
1951,Swiss Grand Prix,Yves Cabantous,18,0,15,14,Ignition
1951,Swiss Grand Prix,Luigi Villoresi,19,0,3,12,Accident
1951,Swiss Grand Prix,José Froilán González,20,0,13,10,Oil pump
1951,Swiss Grand Prix,Peter Hirt,21,0,16,0,Fuel system
1951,Indianapolis 500,Lee Wallard,1,9,2,200,RAS
1951,Indianapolis 500,Mike Nazaruk,2,6,7,200,RAS
1951,Indianapolis 500,Jack McGrath,3,2,3,200,RAS
1951,Indianapolis 500,Manny Ayulo,3,2,3,200,RAS
1951,Indianapolis 500,Andy Linden,4,3,31,200,RAS
1951,Indianapolis 500,Bobby Ball,5,2,29,200,RAS
1951,Indianapolis 500,Henry Banks,6,0,17,200,RAS
1951,Indianapolis 500,Carl Forberg,7,0,24,193,RAS
1951,Indianapolis 500,Duane Carter,8,0,4,180,RAS
1951,Indianapolis 500,Tony Bettenhausen,9,0,9,178,Spun off
1951,Indianapolis 500,Duke Nalon,10,0,1,151,DNF
1951,Indianapolis 500,Gene Force,11,0,22,142,Engine
1951,Indianapolis 500,Sam Hanks,12,0,12,135,Engine
1951,Indianapolis 500,Bill Schindler,13,0,16,129,Engine
1951,Indianapolis 500,Mauri Rose,14,0,5,126,Accident
1951,Indianapolis 500,Walt Faulkner,15,0,14,123,Engine
1951,Indianapolis 500,Jimmy Davies,16,0,27,110,Axle
1951,Indianapolis 500,Fred Agabashian,17,0,11,109,Clutch
1951,Indianapolis 500,Carl Scarborough,18,0,15,93,Heat shield fire
1951,Indianapolis 500,Bill Mackey,19,0,33,97,Clutch
1951,Indianapolis 500,Chuck Stevenson,20,0,19,93,Heat shield fire
1951,Indianapolis 500,Johnnie Parsons,21,0,8,87,Magneto
1951,Indianapolis 500,Cecil Green,22,0,10,80,Engine
1951,Indianapolis 500,Troy Ruttman,23,0,6,78,Engine
1951,Indianapolis 500,Duke Dinsmore,24,0,32,73,Overheating
1951,Indianapolis 500,Chet Miller,25,0,28,56,Ignition
1951,Indianapolis 500,Walt Brown,26,0,13,55,Magneto
1951,Indianapolis 500,Rodger Ward,27,0,25,34,Oil pipe
1951,Indianapolis 500,Cliff Griffith,28,0,18,30,Axle
1951,Indianapolis 500,Bill Vukovich,29,0,20,29,Oil leak
1951,Indianapolis 500,George Connor,30,0,21,29,Transmission
1951,Indianapolis 500,Mack Hellings,31,0,23,18,Engine
1951,Indianapolis 500,Johnny McDowell,32,0,26,15,Fuel leak
1951,Indianapolis 500,Joe James,33,0,30,8,Transmission
1951,Belgian Grand Prix,Nino Farina,1,8,2,36,RAS
1951,Belgian Grand Prix,Alberto Ascari,2,6,4,36,RAS
1951,Belgian Grand Prix,Luigi Villoresi,3,4,3,36,RAS
1951,Belgian Grand Prix,Louis Rosier,4,3,7,34,RAS
1951,Belgian Grand Prix,Yves Cabantous,5,2,8,34,RAS
1951,Belgian Grand Prix,André Pilette,6,0,12,33,RAS
1951,Belgian Grand Prix,Johnny Claes,7,0,11,33,RAS
1951,Belgian Grand Prix,Pierre Levegh,8,0,13,32,RAS
1951,Belgian Grand Prix,Juan Fangio,9,1,1,32,RAS
1951,Belgian Grand Prix,Louis Chiron,10,0,9,28,Engine
1951,Belgian Grand Prix,Consalvo Sanesi,11,0,6,11,Radiator
1951,Belgian Grand Prix,Piero Taruffi,12,0,5,8,Transmission
1951,Belgian Grand Prix,Philippe Étancelin,13,0,10,0,Transmission
1951,French Grand Prix,Juan Fangio,1,5,7,77,RAS
1951,French Grand Prix,Luigi Fagioli,1,4,7,77,RAS
1951,French Grand Prix,José Froilán González,2,3,6,77,RAS
1951,French Grand Prix,Alberto Ascari,2,3,6,77,RAS
1951,French Grand Prix,Luigi Villoresi,3,4,4,74,RAS
1951,French Grand Prix,Reg Parnell,4,3,9,73,RAS
1951,French Grand Prix,Nino Farina,5,2,2,73,RAS
1951,French Grand Prix,Louis Chiron,6,0,8,71,RAS
1951,French Grand Prix,Yves Cabantous,7,0,11,71,RAS
1951,French Grand Prix,Eugène Chaboud,8,0,14,69,RAS
1951,French Grand Prix,Guy Mairesse,9,0,19,66,RAS
1951,French Grand Prix,Consalvo Sanesi,10,0,5,58,RAS
1951,French Grand Prix,Luigi Fagioli,11,0,1,55,RAS
1951,French Grand Prix,Juan Fangio,11,0,1,55,RAS
1951,French Grand Prix,Johnny Claes,12,0,12,54,Accident
1951,French Grand Prix,Louis Rosier,13,0,13,43,Transmission
1951,French Grand Prix,Philippe Étancelin,14,0,10,37,Engine
1951,French Grand Prix,Aldo Gordini,15,0,17,27,Engine
1951,French Grand Prix,Harry Schell,16,0,22,23,Overheating
1951,French Grand Prix,Maurice Trintignant,17,0,18,11,Engine
1951,French Grand Prix,Alberto Ascari,18,0,3,10,Gearbox
1951,French Grand Prix,André Simon,19,0,21,7,Engine
1951,French Grand Prix,Robert Manzon,20,0,23,3,Engine
1951,French Grand Prix,Onofre Marimón,21,0,15,2,Engine
1951,French Grand Prix,Toulo de Graffenried,22,0,16,1,Transmission
1951,French Grand Prix,Peter Whitehead,23,0,20,1,Engine
1951,British Grand Prix,José Froilán González,1,8,1,90,RAS
1951,British Grand Prix,Juan Fangio,2,6,2,90,RAS
1951,British Grand Prix,Luigi Villoresi,3,4,5,88,RAS
1951,British Grand Prix,Felice Bonetto,4,3,7,87,RAS
1951,British Grand Prix,Reg Parnell,5,2,20,85,RAS
1951,British Grand Prix,Consalvo Sanesi,6,0,6,84,RAS
1951,British Grand Prix,Peter Walker,7,0,19,84,RAS
1951,British Grand Prix,Brian Shawe Taylor,8,0,12,84,RAS
1951,British Grand Prix,Peter Whitehead,9,0,8,83,RAS
1951,British Grand Prix,Louis Rosier,10,0,9,83,RAS
1951,British Grand Prix,Bob Gerard,11,0,10,82,RAS
1951,British Grand Prix,Duncan Hamilton,12,0,11,81,RAS
1951,British Grand Prix,Johnny Claes,13,0,14,80,RAS
1951,British Grand Prix,Nino Farina,14,1,3,75,Clutch
1951,British Grand Prix,Joe Kelly,15,0,18,75,Not classified
1951,British Grand Prix,Alberto Ascari,16,0,4,56,Gearbox
1951,British Grand Prix,Philip Fotheringham-Parker,17,0,16,46,Oil leak
1951,British Grand Prix,David Murray,18,0,15,45,Engine
1951,British Grand Prix,Louis Chiron,19,0,13,41,Brakes
1951,British Grand Prix,John James,20,0,17,23,Radiator
1951,German Grand Prix,Alberto Ascari,1,8,1,20,RAS
1951,German Grand Prix,Juan Fangio,2,7,3,20,RAS
1951,German Grand Prix,José Froilán González,3,4,2,20,RAS
1951,German Grand Prix,Luigi Villoresi,4,3,5,20,RAS
1951,German Grand Prix,Piero Taruffi,5,2,6,20,RAS
1951,German Grand Prix,Rudi Fischer,6,0,8,19,RAS
1951,German Grand Prix,Robert Manzon,7,0,9,19,RAS
1951,German Grand Prix,Louis Rosier,8,0,15,19,RAS
1951,German Grand Prix,Pierre Levegh,9,0,19,18,RAS
1951,German Grand Prix,Jacques Swaters,10,0,22,18,RAS
1951,German Grand Prix,Johnny Claes,11,0,18,17,RAS
1951,German Grand Prix,Yves Cabantous,12,0,11,17,Accident
1951,German Grand Prix,Maurice Trintignant,13,0,14,13,Engine
1951,German Grand Prix,Felice Bonetto,14,0,10,12,Magneto
1951,German Grand Prix,Duncan Hamilton,15,0,20,12,Oil pressure
1951,German Grand Prix,Paul Pietsch,16,0,7,11,Accident
1951,German Grand Prix,André Simon,17,0,12,11,Engine
1951,German Grand Prix,Nino Farina,18,0,4,8,Overheating
1951,German Grand Prix,Philippe Étancelin,19,0,21,4,Gearbox
1951,German Grand Prix,Louis Chiron,20,0,13,3,Ignition
1951,German Grand Prix,Toni Branca,21,0,17,3,Engine
1951,German Grand Prix,Toulo de Graffenried,22,0,16,2,Engine
1951,Italian Grand Prix,Alberto Ascari,1,8,3,80,RAS
1951,Italian Grand Prix,José Froilán González,2,6,4,80,RAS
1951,Italian Grand Prix,Felice Bonetto,3,2,7,79,RAS
1951,Italian Grand Prix,Nino Farina,3,3,7,79,RAS
1951,Italian Grand Prix,Luigi Villoresi,4,3,5,79,RAS
1951,Italian Grand Prix,Piero Taruffi,5,2,6,78,RAS
1951,Italian Grand Prix,André Simon,6,0,11,74,RAS
1951,Italian Grand Prix,Louis Rosier,7,0,15,73,RAS
1951,Italian Grand Prix,Yves Cabantous,8,0,14,72,RAS
1951,Italian Grand Prix,Franco Rol,9,0,18,67,RAS
1951,Italian Grand Prix,Juan Fangio,10,0,1,39,Engine
1951,Italian Grand Prix,Maurice Trintignant,11,0,12,29,Engine
1951,Italian Grand Prix,Robert Manzon,12,0,13,29,Engine
1951,Italian Grand Prix,Louis Chiron,13,0,17,23,Ignition
1951,Italian Grand Prix,Pierre Levegh,14,0,20,9,Engine
1951,Italian Grand Prix,Jacques Swaters,15,0,22,7,Overheating
1951,Italian Grand Prix,Nino Farina,16,0,2,6,Engine
1951,Italian Grand Prix,Johnny Claes,17,0,21,4,Oil pump
1951,Italian Grand Prix,Toulo de Graffenried,18,0,9,1,Supercharger
1951,Italian Grand Prix,Peter Whitehead,19,0,19,1,Magneto
1951,Italian Grand Prix,Chico Landi,20,0,16,0,Transmission
1951,Italian Grand Prix,Reg Parnell,21,0,8,0,Withdrew
1951,Italian Grand Prix,Ken Richardson,22,0,10,0,Withdrew
